case_name,speed_target_rpm,iq_target_a,load_torque_nm,mean_speed_rpm,mean_id_a,mean_iq_ref_a,mean_iq_a,mean_phase_current_rms_a,mean_p_elec_w,mean_p_dc_w,mean_ibus_a,mean_abs_ibus_a,mean_p_mech_shaft_w,mean_p_cu_w,mean_p_fric_w,mean_p_drive_loss_w,motor_efficiency_pct,efficiency_pct,speed_error_pct,iq_error_a,is_valid,drive_efficiency
case027_4900rpm_6A,4900,6,1.14372860724222,2082.06455070547,-0.00119594066344801,15,5.85792396003882,4.3739325152133,262.796787775724,276.628197658657,5.76308745122203,5.76308745122203,249.370910981991,12.2449793787721,4.75385155016529,13.8314098829329,94.8911564302716,90.146598608758,-57.5088867202965,-0.14207603996118,0,0.95
case028_4900rpm_7A,4900,7,1.34290215511736,2061.42281243415,-0.000206817086606913,15,6.85755881688159,5.0479502678264,307.36304024458,323.540042362716,6.74041754922324,6.74041754922324,289.894560571657,16.3096273102224,4.6600587457105,16.1770021181358,94.3166622574325,89.6008291445609,-57.9301466850173,-0.142441183118414,0,0.95
case029_4900rpm_8A,4900,8,1.54207570299251,2040.16302461776,0.000134523153713175,15,7.85661142303612,5.7293693868137,351.578171645832,370.082285942981,7.71004762381211,7.71004762381211,329.457337745626,21.0100723688356,4.56443451232184,18.5041142971488,93.7081321639928,89.0227255557932,-58.3640199057601,-0.143388576963884,0,0.95
case030_4900rpm_9A,4900,9,1.74124925086765,2018.3349511694,0.000915542383799762,15,8.85645171469911,6.41655676195146,395.471513923102,416.285804129581,8.67262091936627,8.67262091936627,368.029643885507,26.3522670448148,4.46728559250857,20.8142902064793,93.0609742872831,88.4079255729189,-58.8094907924613,-0.14354828530089,0,0.95
case031_4900rpm_10A,4900,10,1.94042279874279,1996.06313816498,0.000197900885110302,15,9.85301921390239,7.10539353579487,438.846697764896,461.943892384101,9.62383109133544,9.62383109133544,405.601227937675,32.3139594019149,4.36923883295655,23.0971946192051,92.4243545646931,87.8031368364585,-59.2640175884699,-0.146980786097609,0,0.95
case032_4900rpm_12A,4900,12,2.33876989449308,1950.18289141014,0.000167272197099114,15.5,11.8537383982949,8.49621002127564,524.840318202873,552.463492845129,11.5096561009402,11.5096561009402,477.629843658283,46.202383503636,4.17069009135025,27.6231746422561,91.0047927136685,86.4545530779852,-60.2003491548952,-0.146261601705053,0,0.95
case033_4900rpm_14A,4900,14,2.73711699024336,1904.76185183655,0.000932698232181331,18,13.8504194762492,9.89660408286408,609.273744247595,641.340783418521,13.3612663212192,13.3612663212192,545.962310453126,62.6882714573143,3.97867628223508,32.0670391709263,89.6087047255494,85.1282694892719,-61.1273091461929,-0.149580523750807,0,0.95
case034_4900rpm_16A,4900,16,3.13546408599365,1858.1378745404,0.00182605240807482,20.5,15.850063678427,11.3020165179027,692.333108927352,728.771693607739,15.1827436168279,15.1827436168279,610.110338523177,81.7571562962737,3.78628331178931,36.4385846803873,88.1238136174702,83.7176229365966,-62.0788188869306,-0.149936321573005,0,0.95
case035_4900rpm_18A,4900,18,3.53381118174393,1810.90055599185,-0.000327443761281725,23,17.8489041637826,12.7093034713646,773.913467516587,814.645755280617,16.9717865683462,16.9717865683462,670.141572888014,103.38496894517,3.59622155758518,40.7322877640304,86.5912793892105,82.26171541975,-63.0428457960847,-0.151095836217383,0,0.95
case036_4900rpm_20A,4900,20,3.93215827749422,1763.26920351271,-0.0043947325330012,25.5,19.8451606091369,14.1165300919346,853.841898122217,898.780945391808,18.724603028996,18.724603028996,726.06956250172,127.546873796448,3.40952972220331,44.9390472695903,85.0355978195148,80.7838179285391,-64.0149142140264,-0.154839390863149,0,0.95
case037_4900rpm_25A,4900,25,4.92802601686993,1644.0749783109,-0.0052715145911343,31.75,24.8387943014031,17.6411903054894,1047.40054911684,1102.5268938072,22.96931028765,22.96931028765,848.44409158804,199.190981632246,2.96415203518596,55.1263446903604,81.0047400016584,76.9545030015755,-66.4474494222266,-0.161205698596856,0,0.95
case038_4900rpm_30A,4900,30,5.92389375624564,1527.30335944142,0.00060869924742204,38,29.8385137681366,21.174547586111,1233.77128985111,1298.7066208959,27.0563879353313,27.0563879353313,947.460658894308,286.97375597822,2.55804305554291,64.9353310447959,76.7938650127488,72.9541717621113,-68.8305436848691,-0.161486231863446,0,0.95
case039_4900rpm_35A,4900,35,6.91976149562136,1415.14139594577,0.001616470497361,44.25,34.8336842043378,24.7071100096141,1415.28879655287,1489.77768058197,31.0370350121243,31.0370350121243,1025.46201752499,390.712944481641,2.19612424407668,74.4888840290989,72.4560259377906,68.8332246409011,-71.1195633480455,-0.166315795662172,0,0.95
case040_4900rpm_40A,4900,40,7.91562923499707,1308.90353385305,0.00250020936455537,50.5,39.8239365997363,28.2379309403233,1593.58298817296,1677.45577702416,34.9469953546701,34.9469953546701,1084.97992345064,510.363545063088,1.87876523978842,83.8727888512076,68.0843063400528,64.6800910230502,-73.2876829825909,-0.176063400263729,0,0.95
