time,cmd_raw,pos_ref,vel_ref,acc_ref,acc_unsat,acc_sat_flag,axis_raw,axis_mf_noff,axis_mf_vff,speed_cmd_raw,speed_cmd_mf_noff,speed_cmd_mf_vff
0.0324,6.28318530717959,0.629999999999999,99.9999999999998,7999.99999999997,17235.5900326552,1,1.87191082903717,0.155907620840001,0.350592360901012,300,105.199875554429,163.176167204566
0.0325,6.28318530717959,0.640079999999999,100.8,7999.99999999997,17058.1039534071,1,1.89576194367421,0.160268538955019,0.358571874504767,300,106.47506726081,164.46165682089
0.0326,6.28318530717959,0.650239999999999,101.6,7999.99999999997,16880.1630827882,1,1.91968991937828,0.164709633533567,0.366658820652005,300,107.75035197413,165.741170823949
0.0327,6.28318530717959,0.660479999999999,102.4,7999.99999999997,16701.7674207985,1,1.94369379538605,0.169231496427235,0.374853448287523,300,109.025597881092,167.014652095612
0.0328,6.28318530717959,0.670799999999999,103.2,7999.99999999997,16522.9169674379,1,1.96777262294373,0.173834711878265,0.383155995634959,300,110.300674826736,168.28204589006
0.0329,6.28318530717959,0.681199999999999,104,7999.99999999997,16343.6117227066,1,1.99192546515693,0.178519856454069,0.391566690265326,300,111.57545432948,169.543299819178
0.033,6.28318530717959,0.691679999999999,104.8,7999.99999999997,16163.8516866045,1,2.01615139684247,0.18328749898467,0.40008574916761,300,112.849809595528,170.798363837487
0.0331,6.28318530717959,0.702239999999999,105.6,7999.99999999997,15983.6368591315,1,2.04044950438194,0.188138200503054,0.408713378821399,300,114.123615532627,172.047190226617
0.0332,6.28318530717959,0.712879999999999,106.4,7999.99999999997,15802.9672402878,1,2.06481888557716,0.193072514188412,0.41744977527149,300,115.396748763176,173.289733579334
0.0333,6.28318530717959,0.723599999999999,107.2,7999.99999999997,15621.8428300733,1,2.08925864950745,0.19809098531225,0.426295124204434,300,116.66908763672,174.525950783136
0.0334,6.28318530717959,0.734399999999999,108,7999.99999999997,15440.2636284879,1,2.1137679163886,0.203194151187341,0.43524960102697,300,117.940512241791,175.755801003418
0.0335,6.28318530717959,0.745279999999999,108.8,7999.99999999997,15258.2296355318,1,2.13834581743375,0.208382541119516,0.444313370946307,300,119.210904417138,176.979245666222
0.0336,6.28318530717959,0.756239999999999,109.6,7999.99999999997,15075.7408512048,1,2.16299149471582,0.213656676362241,0.453486589052204,300,120.480147762331,178.196248440587
0.0337,6.28318530717959,0.767279999999999,110.4,7999.99999999997,14892.7972755071,1,2.18770410103188,0.219017070073991,0.462769400400802,300,121.748127647744,179.406775220493
0.0338,6.28318530717959,0.778399999999999,111.2,7999.99999999997,14709.3989084385,1,2.21248279976898,0.224464227278375,0.472161940100175,300,123.014731223936,180.610794106428
0.0339,6.28318530717959,0.789599999999999,112,7999.99999999997,14525.5457499992,1,2.23732676477187,0.229998644826992,0.48166433339754,300,124.279847430413,181.808275386575
0.034,6.28318530717959,0.800879999999999,112.8,7999.99999999997,14341.237800189,1,2.26223518021222,0.235620811365006,0.491276695768085,300,125.543367003803,182.999191517633
0.0341,6.28318530717959,0.812239999999999,113.6,7999.99999999997,14156.4750590081,1,2.28720724045956,0.241331207299402,0.500999133005379,300,126.805182485422,184.183517105282
0.0342,6.28318530717959,0.823679999999999,114.4,7999.99999999997,13971.2575264563,1,2.31224214995382,0.247130304769903,0.510831741313313,300,128.065188228256,185.361228884299
0.0343,6.28318530717959,0.835199999999999,115.2,7999.99999999997,13785.5852025337,1,2.3373391230794,0.253018567622527,0.520774607399521,300,129.323280403356,186.532305698346
0.0344,6.28318530717959,0.846799999999999,116,7999.99999999997,13599.4580872404,1,2.3624973840409,0.25899645138575,0.53082780857025,300,130.579357005656,187.696728479417
0.0345,6.28318530717959,0.858479999999999,116.8,7999.99999999997,13412.8761805762,1,2.38771616674039,0.265064403249257,0.540991412826628,300,131.833317859212,188.85448022698
0.0346,6.28318530717959,0.870239999999999,117.6,7999.99999999997,13225.8394825412,1,2.41299471465614,0.271222862045247,0.551265478962286,300,133.085064621877,190.005545986807
0.0347,6.28318530717959,0.882079999999999,118.4,7999.99999999997,13038.3479931355,1,2.43833228072294,0.277472258232274,0.561650056662285,300,134.334500789407,191.149912829503
0.0348,6.28318530717959,0.893999999999999,119.2,7999.99999999997,12850.4017123589,1,2.4637281272139,0.283813013881588,0.572145186603319,300,135.581531699025,192.287569828752
0.0349,6.28318530717959,0.905999999999999,120,7999.99999999997,12662.0006402115,1,2.48918152562373,0.29024554266595,0.58275090055514,300,136.826064532414,193.418508039282
0.035,6.28318530717959,0.918079999999999,120.8,7999.99999999997,12473.1447766933,1,2.51469175655343,0.296770249850905,0.593467221483156,300,138.068008318183,194.542720474559
0.0351,6.28318530717959,0.930239999999999,121.6,7999.99999999997,12283.8341218044,1,2.54025810959651,0.303387532288466,0.604294163652178,300,139.307273933783,195.660202084227
0.0352,6.28318530717959,0.942479999999998,122.4,7999.99999999997,12094.0686755446,1,2.56587988322656,0.310097778413191,0.61523173273125,300,140.543774106898,196.77094973129
0.0353,6.28318530717959,0.954799999999998,123.2,7999.99999999997,11903.848437914,1,2.59155638468622,0.316901368240627,0.626279925899546,300,141.777423416309,197.87496216906
0.0354,6.28318530717959,0.967199999999998,124,7999.99999999997,11713.1734089126,1,2.61728692987765,0.323798673368086,0.63743873195326,300,143.008138292231,198.972240017869
0.0355,6.28318530717959,0.979679999999998,124.8,7999.99999999997,11522.0435885404,1,2.64307084325418,0.330790056977722,0.64870813141348,300,144.235837016148,200.062785741562
0.0356,6.28318530717959,0.992239999999998,125.6,7999.99999999997,11330.4589767974,1,2.6689074577135,0.337875873841887,0.660088096634977,300,145.460439720132,201.146603623776
0.0357,6.28318530717959,1.00488,126.4,7999.99999999997,11138.4195736836,1,2.69479611449208,0.345056470330732,0.671578591915885,300,146.681868385668,202.223699744015
0.0358,6.28318530717959,1.0176,127.2,7999.99999999997,10945.9253791991,1,2.72073616306093,0.352332184422019,0.683179573608223,300,147.900046841982,203.294081953529
0.0359,6.28318530717959,1.0304,128,7999.99999999997,10752.9763933437,1,2.74672696102267,0.35970334571312,0.694890990229222,300,149.114900763882,204.35775985101
0.036,6.28318530717959,1.04328,128.8,7999.99999999997,10559.5726161175,1,2.77276787400988,0.367170275435169,0.706712782573405,300,150.32635766912,205.41474475811
0.0361,6.28318530717959,1.05624,129.6,8000.00000000011,10365.7140475205,1,2.79885827558476,0.374733286469336,0.718644883825404,300,151.534346915281,206.465049694794
0.0362,6.28318530717959,1.06928,130.4,8000.00000000011,10171.4006875527,1,2.82499754713995,0.382392683365196,0.730687219673447,300,152.7387996962,207.508689354529
0.0363,6.28318530717959,1.0824,131.2,8000.00000000011,9976.63253621404,1,2.8511850778007,0.390148762361156,0.742839708423488,300,153.93964903793,208.545680079327
0.0364,6.28318530717959,1.0956,132,8000.00000000011,9781.40959350463,1,2.87742026432819,0.398001811406908,0.755102261113948,300,155.136829794241,209.576039834647
0.0365,6.28318530717959,1.10888,132.8,8000.00000000011,9585.73185942442,1,2.90370251102409,0.405952110187891,0.767474781631006,300,156.330278641689,210.599788184161
0.0366,6.28318530717959,1.12224,133.6,8000.00000000011,9389.59933397341,1,2.93003122963629,0.413999930151705,0.779957166824432,300,157.519934074233,211.616946264404
0.0367,6.28318530717959,1.13568,134.4,8000.00000000011,9193.01201715159,1,2.95640583926583,0.422145534536467,0.792549306623889,300,158.70573639743,212.627536759295
0.0368,6.28318530717959,1.1492,135.2,8000.00000000011,8995.96990895897,1,2.98282576627501,0.430389178401073,0.805251084155696,300,159.887627722192,213.631583874566
0.0369,6.28318530717959,1.1628,136,8000.00000000011,8798.47300939555,1,3.00929044419657,0.438731108657319,0.818062375859996,300,161.065551958139,214.629113312082
0.037,6.28318530717959,1.17648,136.8,8000.00000000011,8600.52131846132,1,3.03579931364412,0.44717156410387,0.830983051608297,300,162.239454806532,215.620152244073
0.0371,6.28318530717959,1.19024,137.6,8000.00000000011,8402.1148361563,1,3.06235182222357,0.45571077546203,0.844012974821353,300,163.409283752801,216.604729287292
0.0372,6.28318530717959,1.20408,138.4,8000.00000000011,8203.25356248047,1,3.08894742444577,0.464348965413286,0.857152002587343,300,164.574988058682,217.582874477081
0.0373,6.28318530717959,1.218,139.2,8000.00000000011,8003.93749743384,1,3.1155855816402,0.473086348638594,0.870399985780309,300,165.736518753957,218.554619241393
0.0374,6.28318530717959,1.23199804166641,139.980416664101,7804.16664101637,7804.16664101641,0,3.1422657618697,0.481923131321046,0.883756744161337,300,166.89339796777,219.49998237879
0.0375,6.28318530717959,1.24607215238505,140.741107186464,7606.90522362466,7606.90522362457,0,3.16898743984632,0.490859510653164,0.897222066096251,300,168.045146557576,220.418426919525
0.0376,6.28318530717959,1.26022038496364,141.482325785861,7412.18599397058,7412.18599397059,0,3.19575009684825,0.499895674359816,0.910795708788745,300,169.191292948525,221.309825413207
0.0377,6.28318530717959,1.27444081735909,142.204323954495,7219.98168634457,7219.98168634469,0,3.22255322063764,0.509031800236608,0.924477398522667,300,170.331373178412,222.174060066387
