index_1based,controller_index_1based,theta_deg,theta_rad,iq_forward_A,iq_backward_A,iq_cog_A,iq_direction_A,iq_ff_raw_A,iq_ff_A,ff_table_value_A,is_active_point
111,111,220,3.83972435438753,-0.194729247548618,NaN,-0.194729247548618,0,-0.181982498024658,-0.181754018528053,-0.181754018528053,1
112,112,222,3.87463093942741,-0.202299008894899,NaN,-0.202299008894899,0,-0.18955225937094,-0.189323214412385,-0.189323214412385,1
113,113,224,3.9095375244673,-0.209646599444875,NaN,-0.209646599444875,0,-0.196899849920916,-0.19666360850996,-0.19666360850996,1
114,114,226,3.94444410950718,-0.216754406713832,NaN,-0.216754406713832,0,-0.204007657189873,-0.203762783768474,-0.203762783768474,1
115,115,228,3.97935069454707,-0.223622527567375,NaN,-0.223622527567375,0,-0.210875778043416,-0.210613797846938,-0.210613797846938,1
116,116,230,4.01425727958696,-0.230225123841185,NaN,-0.230225123841185,0,-0.217478374317226,-0.217208329479132,-0.217208329479132,1
117,117,232,4.04916386462684,-0.23655407928722,NaN,-0.23655407928722,0,-0.223807329763261,-0.223538346674416,-0.223538346674416,1
118,118,234,4.08407044966673,-0.242619257605846,NaN,-0.242619257605846,0,-0.229872508081887,-0.229596165962744,-0.229596165962744,1
119,119,236,4.11897703470662,-0.248404492690252,NaN,-0.248404492690252,0,-0.235657743166293,-0.235374383647454,-0.235374383647454,1
120,120,238,4.1538836197465,-0.253911624009013,NaN,-0.253911624009013,0,-0.241164874485053,-0.240865934560203,-0.240865934560203,1
121,121,240,4.18879020478639,-0.259116212264734,NaN,-0.259116212264734,0,-0.246369462740775,-0.246064157326306,-0.246064157326306,1
122,122,242,4.22369678982628,-0.264011833850967,NaN,-0.264011833850967,0,-0.251265084327007,-0.250962720911087,-0.250962720911087,1
123,123,244,4.25860337486616,-0.268610371436361,NaN,-0.268610371436361,0,-0.255863621912402,-0.255555688693471,-0.255555688693471,1
124,124,246,4.29350995990605,-0.272897310614158,NaN,-0.272897310614158,0,-0.260150561090199,-0.259837438033432,-0.259837438033432,1
125,125,248,4.32841654494594,-0.276876462920933,NaN,-0.276876462920933,0,-0.264129713396974,-0.263802723794857,-0.263802723794857,1
