bandwidth_hz,kp_scale,ki_scale,kp,ki,gain_1khz,phase_lag_deg,lag_us,rmse_a,max_abs_error_a,iq_peak_pos_a,iq_peak_neg_a,iq_pp_a,vq_abs_max_v,voltage_norm_max,score
1000,1.25,1.15,0.431968989868597,20954.4229994439,0.920819066215881,41.0492497414678,114.0256937263,0.238477815363984,0.602415970461865,0.303936189770262,-0.303944645196827,0.607880834967089,0.882119775623741,0.141555904683186,0.307969783354598
1000,1.25,1.3,0.431968989868597,23687.608608067,0.972123920581524,36.380996950668,101.058324862967,0.230546782325787,0.601571711004032,0.321727982933627,-0.321759192014244,0.64348717494787,0.933450210083127,0.149793024276771,0.287905885693636
1200,0.75,0.7,0.31101767270539,15305.8394082895,0.783191370649434,54.0150767608887,150.041879891358,0.268124710975695,0.592631206846777,0.288416402961087,-0.292631206846777,0.581047609807864,0.853508006256814,0.136964504502345,0.370828189052085
1200,0.75,0.85,0.31101767270539,18585.6621386372,0.889060471360756,46.6279104034549,129.52197334293,0.25480180282273,0.600908985287095,0.300908697251544,-0.300908985287095,0.601817682538638,0.872650111121029,0.140036284601231,0.335837621291837
1200,0.75,1,0.31101767270539,21865.484868985,0.964266949652216,40.0876194940669,111.35449859463,0.243037814286506,0.603718829616383,0.319658836259571,-0.319739619245858,0.639398455505429,0.928804804777879,0.149047564795218,0.306742548562385
1200,0.75,1.15,0.31101767270539,25145.3075993327,1.01524983504683,34.4967029459351,95.8241748498198,0.234823264016864,0.596791043436897,0.353876927897519,-0.353762486679254,0.707639414576773,1.03060201060265,0.165383209866271,0.288093301940451
1200,0.75,1.3,0.31101767270539,28425.1303296805,1.0486949441715,29.7870392948716,82.7417758190879,0.231232466772019,0.597139094931099,0.389876538899452,-0.389157147200362,0.779033686099814,1.13160787584078,0.181591866589765,0.280782520131477
1200,0.9,0.7,0.373221207246467,15305.8394082895,0.769110892434638,53.0985414594732,147.495948498537,0.26341958679457,0.5909664607804,0.286235597543073,-0.2909664607804,0.577202058323473,0.850277121248096,0.136446036531243,0.366156309740316
1200,0.9,0.85,0.373221207246467,18585.6621386372,0.875040222905127,46.0714180214899,127.976161170805,0.250638447271587,0.600076889957464,0.299805365512752,-0.300076889957464,0.599882255470217,0.870262359451714,0.139653116286622,0.332241552013309
1200,0.9,1,0.373221207246467,21865.484868985,0.951395582215387,39.7589719139086,110.441588649746,0.239164578647702,0.603324872127147,0.31333918432341,-0.31339235395447,0.62673153827788,0.910565180728761,0.146120607986514,0.303663478297026
1200,0.9,1.15,0.373221207246467,25145.3075993327,1.00395849160619,34.3096673113197,95.3046314203325,0.230894215956244,0.598088753078211,0.344705240799172,-0.344684982352441,0.689390223151613,1.00373202245636,0.16107131755189,0.282754566083842
1200,0.9,1.3,0.373221207246467,28425.1303296805,1.03901329857677,29.6872858143449,82.4646828176246,0.226860254927568,0.597645132490218,0.378941366202524,-0.378444204285151,0.757385570487675,1.09971032010304,0.17647318828279,0.275292513506763
1200,1,0.7,0.414690230273853,15305.8394082895,0.760234450712315,52.4764878918917,145.768021921921,0.260358312819407,0.589867772654942,0.28482366486054,-0.289867772654942,0.574691437515483,0.848165615049248,0.136107197998788,0.363049599586013
1200,1,0.85,0.414690230273853,18585.6621386372,0.866076847156459,45.6887867191311,126.913296442031,0.24792004775948,0.599637498916489,0.299034014304839,-0.299637498916489,0.598671513221328,0.869036354212044,0.139456376245594,0.329845543122531
1200,1,1,0.414690230273853,21865.484868985,0.943082033298662,39.5294537311206,109.804038142002,0.236636677304312,0.602982760712161,0.309461728958677,-0.309480495255473,0.61894222421415,0.899220788682714,0.144300145818524,0.301622654571127
1200,1,1.15,0.414690230273853,25145.3075993327,0.996609079165426,34.1763788004168,94.9343855567133,0.228343559940423,0.59882543595461,0.338935706818175,-0.338954056111472,0.677889762929647,0.986849660026628,0.15836216381453,0.279947220224505
1200,1,1.3,0.414690230273853,28425.1303296805,1.0326753245575,29.6139742884992,82.2610396902755,0.22404792012423,0.597933566924796,0.372096816653288,-0.371712013504315,0.743808830157604,1.07978031431785,0.173274971807858,0.271736414012729
1200,1.1,0.7,0.456159253301238,15305.8394082895,0.751752535237847,51.8465862769577,144.018295213771,0.257356236444438,0.588780363020649,0.283445589835168,-0.288780363020649,0.572225952855817,0.846088758174391,0.135773919727581,0.35995086233609
1200,1.1,0.85,0.456159253301238,18585.6621386372,0.857413330859923,45.2974510606049,125.826252946125,0.24524705458899,0.599161580588267,0.298239490231159,-0.299161580588267,0.597401070819425,0.867702481371828,0.139242326428498,0.327451898093905
1200,1.1,1,0.456159253301238,21865.484868985,0.934980045976453,39.2919612929798,109.144336924944,0.234151796210359,0.602583563593936,0.307089781520261,-0.307103269430582,0.614193050950843,0.89080123053443,0.142949038855901,0.299591733552183
1200,1.1,1.15,0.456159253301238,25145.3075993327,0.989402138417494,34.0364129435266,94.545591509796,0.225846595357586,0.599433197288474,0.33343395820686,-0.33347617191495,0.66691013012181,0.97077268474994,0.155782252511384,0.277961000931126
